v1,v2
ham,"Chúc mừng sinh nhật nha! Chúc cậu tuổi mới luôn xinh đẹp, vui vẻ và thành công trong công việc."
ham,"Dạ em chào anh, em gửi anh danh sách các hạng mục cần sửa chữa trong văn phòng ạ."
ham,"Mày ơi, tao vừa tìm được quán lẩu này ngon cực, hôm nào rảnh mấy đứa mình đi ăn đi."
ham,"Anh ơi, khách hàng vừa gọi điện xác nhận lại thời gian họp sáng mai lúc 9h nhé."
ham,"Hôm nay trời đẹp quá, cậu có muốn đi dạo hồ Tây hay đi cafe không?"
ham,"Con đã ăn cơm chưa? Nhớ giữ gìn sức khỏe nhé, ngoài Hà Nội bắt đầu lạnh rồi đấy."
ham,"Em nhận được tiền chị chuyển rồi ạ, em cảm ơn chị nhiều nhé!"
ham,"Cậu có biết chỗ nào sửa laptop uy tín không? Máy tớ tự dưng không lên nguồn."
ham,"Báo cáo quý này sếp duyệt rồi, anh em mình chuẩn bị tinh thần nhận thưởng thôi!"
ham,"Bạn ơi, cho tớ mượn quyển vở ghi môn Toán hôm thứ 4 được không? Tớ nghỉ nên chưa chép bài."
ham,"Dạ em cảm ơn chị đã phản hồi, em sẽ chỉnh sửa lại file và gửi chị sớm nhất ạ."
ham,"Mọi người ơi, chiều nay 4h họp phòng mình ở phòng họp nhỏ nhé, có việc gấp cần bàn."
ham,"Ê tối nay có trận chung kết C1 đó, qua nhà tớ xem đi, tớ mua sẵn bia với mồi rồi."
ham,"Chúc ngủ ngon nhé! Mai mấy giờ cậu qua đón tớ đi học thế?"
ham,"Anh ơi, xe em bị thủng lốp rồi, anh qua đón em ở đoạn đường Xuân Thủy được không?"
ham,"Dạ bác ơi, cháu vừa gửi thuốc về cho bác rồi ạ, chắc tầm mai hoặc kia là bác nhận được thôi."
ham,"Cậu đã làm xong bài tập môn Machine Learning chưa? Có chỗ này tớ chưa hiểu lắm, chỉ tớ với."
ham,"Chúc mừng bạn đã bảo vệ thành công đồ án tốt nghiệp nhé, chúc mừng tân kỹ sư!"
ham,"Em chào thầy ạ, em xin phép thầy cho em nghỉ học buổi chiều nay vì em bị sốt ạ."
ham,"Mẹ gửi đồ quê lên cho con rồi đó, tí nữa Shipper gọi thì con ra nhận nhé."
ham,"Anh ơi, chiều nay anh có bận gì không? Đi xem phim với em đi, phim mới ra hay lắm."
ham,"Cảm ơn bạn đã hỗ trợ mình trong dự án vừa qua, có dịp mình mời cafe nhé."
ham,"Mày đang ở đâu đấy? Tao qua lấy cái áo khoác hôm nọ tao để quên ở phòng mày."
ham,"Dạ anh, file thiết kế logo em đã gửi trong nhóm Zalo rồi, anh xem qua có cần sửa gì không ạ."
ham,"Chúc bạn một ngày làm việc hiệu quả và gặp nhiều may mắn nhé!"
ham,"Hôm nay tớ phải tăng ca nên về muộn, cậu ăn cơm trước đi nhé, đừng đợi tớ."
ham,"Cậu thấy bộ váy này tớ mặc đi tiệc cưới có ổn không, hay là mặc bộ màu xanh nhỉ?"
ham,"Dạ chị, chiều nay em qua lấy tài liệu chị nhé, tầm 3h em có mặt ở văn phòng chị ạ."
ham,"Mọi người ơi, ai cầm cái sạc iPhone của tớ ở phòng làm việc thì cho tớ xin lại với."
ham,"Chúc mừng hai bạn trăm năm hạnh phúc nha! Tiếc quá hôm nay mình không về dự đám cưới được."
ham,"Anh ơi, kiểm tra giúp em xem sao hôm nay mạng ở văn phòng chậm thế ạ."
ham,"Dạ cô, bài tập cô giao em đã hoàn thành và nộp trên hệ thống rồi ạ."
ham,"Cậu ơi, mai đi hội thảo với tớ không? Có nhiều diễn giả nổi tiếng lắm."
ham,"Mẹ mới làm món thịt kho tàu ngon lắm, chiều nay con nhớ về ăn cơm nhé."
ham,"Em chào anh, em gửi anh file báo cáo thuế tháng 5, anh xem và ký giúp em ạ."
ham,"Chúc bạn thi tốt nhé! Tự tin lên, chắc chắn cậu sẽ làm được bài mà."
ham,"Anh ơi, cho em xin nghỉ phép ngày mai được không ạ? Nhà em có việc bận đột xuất."
ham,"Cậu có định đăng ký khóa học tiếng Anh ở trung tâm đó không? Cho tớ đi học cùng với."
ham,"Dạ chị, em đã nhận được yêu cầu của chị, em sẽ phản hồi lại sớm nhất có thể ạ."
ham,"Mọi người nhớ mang đầy đủ giấy tờ tùy thân để mai mình đi làm thủ tục nhé."
ham,"Ê tớ vừa thấy cái này hay lắm, gửi cho cậu xem nè, đảm bảo cậu sẽ thích."
ham,"Chúc mừng cậu đã nhận được học bổng nhé! Thật đáng ngưỡng mộ quá đi."
ham,"Dạ bác, cháu đã nhận được quà bác gửi rồi ạ, cháu cảm ơn bác nhiều."
ham,"Anh ơi, sáng mai mình gặp nhau ở quán cà phê cũ lúc 8h để bàn công việc nhé."
ham,"Cậu đã xem tập phim mới nhất chưa? Cái kết bất ngờ quá, tớ không tin nổi luôn."
ham,"Em chào chị, em gửi chị danh sách đồ cần mua cho buổi liên hoan chiều nay ạ."
ham,"Chúc bạn cuối tuần vui vẻ bên gia đình và người thân nhé!"
ham,"Anh ơi, cái máy in ở phòng em lại bị kẹt giấy rồi, anh qua xem giúp em với."
ham,"Dạ em đã gửi mail xác nhận tham gia buổi phỏng vấn vào sáng thứ 5 rồi ạ."
ham,"Mọi người ơi, ai có số điện thoại của bác bảo vệ cho mình xin với."
ham,"Ê tối nay rảnh không? Sang nhà tớ làm vài ván game giải sầu đi."
ham,"Chúc mừng sinh nhật bác ạ! Cháu chúc bác luôn mạnh khỏe và yêu đời."
ham,"Anh ơi, file ảnh này nặng quá em không gửi qua Zalo được, em gửi qua Drive nhé."
ham,"Dạ em chào chị, em là học viên lớp tiếng Nhật chiều thứ 2, em xin phép nghỉ buổi nay ạ."
ham,"Cậu ơi, mai mấy giờ mình xuất phát đi Hải Phòng thế? Để tớ chuẩn bị đồ."
ham,"Mẹ mới mua cho con hai cái áo mới đẹp lắm, cuối tuần về mặc thử nhé."
ham,"Anh ơi, em đã hoàn thành xong phần code của mình và đã push lên github rồi ạ."
ham,"Chúc bạn một buổi tối ấm áp bên người thương nhé!"
ham,"Dạ chị, em đã gửi thông tin chuyển khoản vào hộp thư của chị rồi ạ."
ham,"Mọi người ơi, chiều nay có ai đi uống trà sữa không? Tớ bao nhé!"
ham,"Ê cái ví của tớ để trên bàn học, cậu thấy thì cầm hộ tớ tí nữa tớ qua lấy."
ham,"Chúc mừng bạn đã trúng tuyển vào vị trí chuyên viên marketing nhé!"
ham,"Anh ơi, khách hàng hỏi file hợp đồng sao lâu thế vẫn chưa gửi cho họ ạ."
ham,"Dạ em chào anh, em gửi anh bản thảo kế hoạch truyền thông cho tháng tới ạ."
ham,"Cậu ơi, tối nay đi xem đá bóng ở quảng trường không? Đang có giải lớn đấy."
ham,"Mẹ bảo cuối tuần này con về mẹ nấu món gà hầm cho mà ăn nhé."
ham,"Anh ơi, kiểm tra lại giúp em cái file excel này, hình như công thức bị sai."
ham,"Chúc bạn có một chuyến du lịch thật vui vẻ và có nhiều trải nghiệm thú vị."
ham,"Dạ em đã nhận được thông tin ạ, em sẽ xử lý và báo lại anh sớm."
ham,"Mọi người ơi, nhớ check lại hành lý trước khi ra khỏi khách sạn nhé."
ham,"Ê tao vừa mua được đôi giày này đẹp không? Sale 50% luôn đấy."
ham,"Chúc mừng năm mới! Chúc gia đình bạn luôn bình an, hạnh phúc và thịnh vượng."
ham,"Anh ơi, chiều nay anh có đi họp thay em được không? Em bận đi gặp khách hàng."
ham,"Dạ chị, em gửi chị bản báo giá mới nhất đã bao gồm chiết khấu ạ."
ham,"Cậu có biết quán ăn nào ngon mà rẻ quanh đây không? Giới thiệu tớ với."
ham,"Mẹ vừa gửi tiền đóng tiền học cho con rồi đấy, con kiểm tra tài khoản nhé."
ham,"Anh ơi, em gửi lại anh file báo cáo đã chỉnh sửa theo yêu cầu của anh ạ."
ham,"Chúc bạn một ngày mới tràn đầy năng lượng và làm việc hiệu quả!"
ham,"Dạ em chào chị, em gửi chị thông tin các ứng viên tham gia phỏng vấn ngày mai ạ."
ham,"Mọi người ơi, tối nay mình đi ăn lẩu nướng hay ăn phở cuốn nhỉ?"
ham,"Ê tớ vừa mới tìm thấy cái quán cafe này view đẹp cực, mai đi không?"
ham,"Chúc mừng bạn đã hoàn thành xuất sắc nhiệm vụ được giao nhé!"
ham,"Anh ơi, xe em bị hết xăng giữa đường rồi, anh có gần đây không cứu em với."
ham,"Dạ em đã nhận được yêu cầu hỗ trợ của anh, kỹ thuật viên sẽ qua trong ít phút ạ."
ham,"Cậu ơi, cho tớ mượn cái sạc dự phòng với, máy tớ sắp hết pin rồi."
ham,"Mẹ bảo con đi làm nhớ giữ gìn sức khỏe, đừng thức khuya quá nhé."
ham,"Anh ơi, file tài liệu này bị lỗi font rồi, anh gửi lại định dạng PDF giúp em."
ham,"Chúc bạn luôn tự tin và tỏa sáng trong mọi hoàn cảnh nhé!"
ham,"Dạ chị, em gửi chị danh sách các câu hỏi thường gặp của khách hàng ạ."
ham,"Mọi người ơi, nhớ mang theo áo mưa nhé, dự báo thời tiết nói chiều nay có mưa to."
ham,"Ê tao mới đổi số điện thoại mới nè, lưu lại khi nào cần thì gọi nhé."
ham,"Chúc mừng sinh nhật bé yêu! Chúc con luôn ngoan ngoãn và nghe lời bố mẹ."
ham,"Anh ơi, chiều nay mấy giờ mình đi gặp đối tác ở văn phòng họ thế ạ?"
ham,"Dạ em chào chị, em gửi chị bản tóm tắt nội dung cuộc họp sáng nay ạ."
ham,"Cậu có muốn đi thư viện học nhóm với tớ chiều nay không?"
ham,"Mẹ gửi cho con ít hoa quả sạch ở quê lên đấy, con nhớ chia cho bạn cùng phòng nữa nhé."
ham,"Hôm nay bạn có rảnh không? Đi uống cà phê nhé."
ham,"Nhớ mua đồ ăn tối nhé, tôi sẽ về muộn một chút."
ham,"Cuối tuần này nhóm mình đi dã ngoại ở đâu vậy?"
ham,"Bạn đã làm xong bài tập về nhà chưa? Cho tôi mượn xem với."
ham,"Alo, bạn đang ở đâu đấy? Tôi đến đón bạn nhé."
ham,"Sếp bảo chiều nay họp lúc 3h nhé."
ham,"Mai sinh nhật Lan, mọi người định tặng quà gì?"
ham,"Cảm ơn bạn đã giúp đỡ tôi trong dự án vừa qua."
ham,"Chúc ngủ ngon! Hẹn gặp lại vào ngày mai."
ham,"Chuyến bay của tôi cất cánh lúc 8h sáng, nhớ ra sân bay sớm nhé."
ham,"Tối qua tôi vừa xem một bộ phim rất hay."
ham,"Bạn đã gửi báo cáo tháng này cho quản lý chưa?"
ham,"Nay thời tiết đẹp ghê, ra ngoài chơi thôi."
ham,"Chiều nay ăn gì, phở hay bún?"
ham,"Mẹ gửi tiền lên cho con rồi nhé, ra ATM rút đi."
ham,"Cuối tháng này anh cưới, nhớ về dự nhé."
ham,"Mày đang làm gì đấy, có rảnh làm vài ván game không?"
ham,"Giáo viên bảo mai nghỉ học do trường cúp điện."
ham,"Em nhớ mang theo ô nhé, dự báo thời tiết nói chiều nay có mưa."
ham,"Gửi anh file báo cáo tài chính quý 3, anh kiểm tra lại giúp em nhé."
ham,"Chủ nhật tuần sau lớp mình tổ chức họp lớp ở nhà hàng cũ nhé."
ham,"Xe tôi hỏng rồi, cậu có tiện đường qua đón tôi đi làm không?"
ham,"Đã nhận được tiền tôi chuyển chưa? Kiểm tra tài khoản xem."
ham,"Mấy giờ trưa nay bọn mình gặp nhau ở quán cũ?"
ham,"Dạo này công việc thế nào, có bận lắm không?"
